7,balde40,balde 40L,balde de 40 Litros
8,balde60,balde 60L,balde de 60 Litros
9,balde80,balde de 80L,balde de 80 litros
10,rede_neblina,rede de neblina,rede de neblina utilizada em avifauna
14,caminhada,caminhada,definida por uma velocidade especifica
16,emalhar30,rede de emalhar 30mm,rede de emalhar de 30mm entre nós
17,emalhar40,rede de emalhar 40mm,rede de emalhar de 40mm entre nós
18,emalhar50,rede de emalhar 50mm,rede de emalhar de 50mm entre nós
19,emalhar60,rede de emalhar 60mm,rede de emalhar de 60mm entre nós
20,emalhar70,rede de emalhar 70mm,rede de emalhar de 70mm entre nós
21,emalhar80,rede de emalhar 80mm,rede de emalhar de 80mm entre nós
22,emalhar90,rede de emalhar 90mm,rede de emalhar de 90mm entre nós
23,emalhar100,rede de emalhar 100mm,rede de emalhar de 100mm entre nós
24,emalhar120,rede de emalhar 120mm,rede de emalhar de 120mm entre nós
25,emalhar140,rede de emalhar 140mm,rede de emalhar de 140mm entre nós
26,emalhar160,rede de emalhar 160mm,rede de emalhar de 160mm entre nós
27,emalhar180,rede de emalhar 180mm,rede de emalhar de 180mm entre nós
28,emalhar200,rede de emalhar 200mm,rede de emalhar de 200mm entre nós
29,redecerco,rede de cerco,
30,rede_arrasto,rede de arrasto bentônico,
31,anzol,anzol,
32,espinhel,espinhel,
